feature,mean,std
ERBB2,0.0,0.0
ERBB3,0.0018035732527441396,0.003607146505488279
ERN2,0.0,0.0
ERRFI1,0.0,0.0
ESM1,0.0015751387488950885,0.0028139197787598134
ESR1,0.006094936779868343,0.005001649580230895
ESRP1,0.0,0.0
ETS2,0.0,0.0
EVL,0.0003366760612615094,0.0010100281837845282
EXOC3L2,0.0,0.0
FAM149A,0.0,0.0
FAM171A2,0.0,0.0
FAM71D,0.0,0.0
FAM83B,0.0,0.0
FANCE,0.008918769743079846,0.0041794694761809964
FBXL7,0.0006733521225230187,0.0013467042450460377
FBXO17,0.001683380306307547,0.001683380306307547
FERMT1,0.004432063970636513,0.004030726802954476
FGF18,0.002131865300317759,0.0026521512475890874
FKBP2,0.005823178490806535,0.004069930201401964
FKBP9,0.0,0.0
FLJ46111,0.0028136014365286676,0.0034276161472999137
FLT1,0.0006733521225230187,0.0013467042450460375
FST,0.0,0.0
FUT4,0.0,0.0
FUT6,0.002693408490092075,0.0013467042450460377
FXYD2,0.00010333083109363983,0.00030999249328091946
FXYD3,0.002356732428830566,0.0015428435354104565
GAB2,0.0,0.0
GAL3ST1,0.002476925375267158,0.003520829231865598
GALNT12,0.005225609039596124,0.004631071047655676
GALNT8,0.0,0.0
GATA3,0.003023066706257016,0.0034637007962206724
GBP6,0.0003366760612615094,0.0010100281837845282
GDF7,0.0,0.0
GGCT,0.0013467042450460375,0.0016493691174014164
GGT8P,0.0,0.0
GIF,0.001683380306307547,0.001683380306307547
GJA5,0.0,0.0
GJB5,0.0,0.0
GJB6,0.0010100281837845282,0.0015428435354104565
GJC3,0.004508933131860349,0.004508933131860349
GLI3,0.0013467042450460375,0.0016493691174014164
GNG12,0.001683380306307547,0.001683380306307547
GOLGA6B,0.0010100281837845282,0.0015428435354104565
GPA33,0.009251168450452596,0.003896886783061419
GPR109B,0.0,0.0
GPR116,0.003117818611690326,0.004044301311668994
GPR22,0.0,0.0
GPR35,0.007214293010976558,0.003607146505488279
GPR4,0.0006733521225230187,0.0013467042450460375
GPR87,0.0018035732527441396,0.003607146505488279
GPX3,0.0024444664891673075,0.004223119010136576
GRHL2,0.0,0.0
GUCY2C,0.0030300845513535845,0.0010100281837845282
HBG2,0.0,0.0
HDAC7,0.0010100281837845282,0.0015428435354104565
HEPH,0.0030300845513535845,0.0010100281837845282
HGF,0.0013467042450460375,0.0016493691174014164
HHLA2,0.0,0.0
HIST1H1B,0.0018035732527441396,0.003607146505488279
HIST1H2AL,0.0,0.0
HIST1H2BI,0.0003366760612615094,0.0010100281837845282
HIST1H2BM,0.002889384107841275,0.003444335884001515
HIST1H3F,0.0,0.0
HIST1H4A,0.0006733521225230187,0.0013467042450460377
HIST1H4C,0.0,0.0
HIST2H2AB,0.0,0.0
HKDC1,0.003059746626429105,0.0045610932681129585
HMGA2,0.0,0.0
HOPX,0.004888932978334615,0.004870178180952928
HOXA11,0.0020200563675690565,0.0016493691174014164
HOXA11AS,0.002693408490092075,0.0013467042450460377
HSD11B2,0.002705359879116209,0.0041325054760488695
HSD17B11,0.0013467042450460375,0.0016493691174014162
ICA1,0.0,0.0
ID4,0.003607146505488279,0.004417834182954862
IER3IP1,0.0010100281837845282,0.0015428435354104565
IGSF9,0.0,0.0
